date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:21	263/263	---M--	200	added ('OK')	text/css	etag:%22107-6576e0c3-9fee588a06e3b056;;;%22	https://sanatandharmajagruti.in/css/timeline_slider.css?v=1726033866	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/css/timeline_sliderec0d.css	(from https://sanatandharmajagruti.in/)
11:21:22	690/690	---M-Z	200	added ('OK')	application/json	etag:%222b2-66683bb3-e35b0b8422d08486;gz%22	https://sanatandharmajagruti.in/manifest.json	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/manifest.json	(from https://sanatandharmajagruti.in/)
11:21:23	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%22705d-miajSdIaS4cfRd/RJKQ/raT5S5g%22	https://unpkg.com/aos@3.0.0-beta.6/dist/aos.css	F:/xampp/htdocs/NGO/NGO/unpkg.com/aos@3.0.0-beta.6/dist/aos.css	(from https://sanatandharmajagruti.in/)
11:21:24	2762/2762	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Sep%202024%2003:02:52	https://img.icons8.com/color/70/000000/whatsapp--v1.png	F:/xampp/htdocs/NGO/NGO/img.icons8.com/color/70/000000/whatsapp--v1.png	(from https://sanatandharmajagruti.in/)
11:21:24	35258/35258	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:23%20GMT	https://sanatandharmajagruti.in/donation.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/donation.html	(from https://sanatandharmajagruti.in/)
11:21:25	92426/92426	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:24%20GMT	https://sanatandharmajagruti.in/index.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/index-2.html	(from https://sanatandharmajagruti.in/)
11:21:26	4598/4598	---M-Z	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:25%20GMT	https://sanatandharmajagruti.in/admin-login.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/admin-login.html	(from https://sanatandharmajagruti.in/)
11:21:26	787947/787947	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Sep%202024%2005:51:24%20GMT	https://sanatandharmajagruti.in/webimg/LOGO%20_02282024155556.png	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/webimg/LOGO%20_02282024155556.png	(from https://sanatandharmajagruti.in/)
11:21:26	59319/59319	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:25%20GMT	https://sanatandharmajagruti.in/users-apply-form.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/users-apply-form.html	(from https://sanatandharmajagruti.in/)
11:21:27	34975/34975	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:26%20GMT	https://sanatandharmajagruti.in/gallery.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/gallery.html	(from https://sanatandharmajagruti.in/)
11:21:27	33562/33562	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:26%20GMT	https://sanatandharmajagruti.in/id-card-download.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/id-card-download.html	(from https://sanatandharmajagruti.in/)
11:21:27	30677/30677	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:26%20GMT	https://sanatandharmajagruti.in/upcoming-event.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/upcoming-event.html	(from https://sanatandharmajagruti.in/)
11:21:28	44692/44692	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:26%20GMT	https://sanatandharmajagruti.in/donation_form.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/donation_form.html	(from https://sanatandharmajagruti.in/)
11:21:28	31879/31879	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:27%20GMT	https://sanatandharmajagruti.in/donars.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/donars.html	(from https://sanatandharmajagruti.in/)
11:21:28	31734/31734	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:27%20GMT	https://sanatandharmajagruti.in/contact-us.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/contact-us.html	(from https://sanatandharmajagruti.in/)
11:21:29	40976/40976	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:27%20GMT	https://sanatandharmajagruti.in/aboutus.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/aboutus.html	(from https://sanatandharmajagruti.in/)
11:21:29	29020/29020	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:28%20GMT	https://sanatandharmajagruti.in/management-team.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/management-team.html	(from https://sanatandharmajagruti.in/)
11:21:29	29197/29197	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:28%20GMT	https://sanatandharmajagruti.in/our-team.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/our-team.html	(from https://sanatandharmajagruti.in/)
11:21:29	30825/30825	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:28%20GMT	https://sanatandharmajagruti.in/crowdfunding.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/crowdfunding.html	(from https://sanatandharmajagruti.in/)
11:21:30	26005/26005	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:28%20GMT	https://sanatandharmajagruti.in/solutions.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/solutions.html	(from https://sanatandharmajagruti.in/)
11:21:30	41707/41707	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:29%20GMT	https://sanatandharmajagruti.in/complain-form.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/complain-form.html	(from https://sanatandharmajagruti.in/)
11:21:31	26555/26555	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:29%20GMT	https://sanatandharmajagruti.in/our-project.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/our-project.html	(from https://sanatandharmajagruti.in/)
11:21:31	55902/55902	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:29%20GMT	https://sanatandharmajagruti.in/user-registration.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/user-registration.html	(from https://sanatandharmajagruti.in/)
11:21:32	29893/29893	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:30%20GMT	https://sanatandharmajagruti.in/user-login.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/user-login.html	(from https://sanatandharmajagruti.in/)
11:21:32	29936/29936	---MCZ	200	added ('OK')	text/html	date:Wed,%2011%20Sep%202024%2005:51:31%20GMT	https://sanatandharmajagruti.in/coordinator-login.php	F:/xampp/htdocs/NGO/NGO/sanatandharmajagruti.in/coordinator-login.html	(from https://sanatandharmajagruti.in/)
11:21:33	89795/89795	---M--	200	added ('OK')	text/javascript	date:Tue,%2004%20Apr%202023%2003:27:01%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	F:/xampp/htdocs/NGO/NGO/ajax.googleapis.com/ajax/libs/jquery/3.6.4/jquery.min.js	(from https://sanatandharmajagruti.in/)
